car_name,model,date,odometer,miles,gallons,price
2011 Nissan Quest 3.5SL,Nissan Quest,2012-09-27,9671,314,16.19,3.35
2011 Nissan Quest 3.5SL,Nissan Quest,2012-10-06,10002,331,15.74,3.32
2011 Nissan Quest 3.5SL,Nissan Quest,2012-10-14,10218,216,10.88,3.36
2011 Nissan Quest 3.5SL,Nissan Quest,2012-10-21,10533,315,15.41,3.26
2011 Nissan Quest 3.5SL,Nissan Quest,2012-10-27,10804,271,13.3,3.04
2011 Nissan Quest 3.5SL,Nissan Quest,2012-11-04,11064,260,13.1,2.97
2011 Nissan Quest 3.5SL,Nissan Quest,2012-11-10,11383,319,14.73,2.96
2011 Nissan Quest 3.5SL,Nissan Quest,2012-11-18,11635,252,13.09,2.98
2011 Nissan Quest 3.5SL,Nissan Quest,2012-11-25,11928,293,14.19,3.1
2011 Nissan Quest 3.5SL,Nissan Quest,2012-12-02,12122,194,8.98,3.09
2011 Nissan Quest 3.5SL,Nissan Quest,2012-12-02,12318,196,10.5,3.09
2011 Nissan Quest 3.5SL,Nissan Quest,2012-12-08,12549,231,10.69,2.99
2011 Nissan Quest 3.5SL,Nissan Quest,2012-12-15,12744,195,10.09,2.9
2011 Nissan Quest 3.5SL,Nissan Quest,2012-12-23,12992,248,13.1,2.89
2011 Nissan Quest 3.5SL,Nissan Quest,2012-12-30,13259,267,13.23,3.09
2011 Nissan Quest 3.5SL,Nissan Quest,2013-01-06,13468,209,11.07,2.97
2011 Nissan Quest 3.5SL,Nissan Quest,2013-01-12,13649,181,9.76,3.08
2011 Nissan Quest 3.5SL,Nissan Quest,2013-01-22,13949,300,15.41,3.07
2011 Nissan Quest 3.5SL,Nissan Quest,2013-02-01,14207,258,13.27,3.16
2011 Nissan Quest 3.5SL,Nissan Quest,2013-02-10,14541,334,16.88,3.25
2011 Nissan Quest 3.5SL,Nissan Quest,2013-02-17,14768,227,11.55,3.27
2011 Nissan Quest 3.5SL,Nissan Quest,2013-02-23,14925,157,8.56,3.43
2011 Nissan Quest 3.5SL,Nissan Quest,2013-03-05,15265,340,17.62,3.4
2011 Nissan Quest 3.5SL,Nissan Quest,2013-03-09,15369,104,4.84,3.38
2011 Nissan Quest 3.5SL,Nissan Quest,2013-03-11,15699,330,15.55,3.5
2011 Nissan Quest 3.5SL,Nissan Quest,2013-03-14,15975,276,13.15,3.38
2011 Nissan Quest 3.5SL,Nissan Quest,2013-03-23,16325,350,17.26,3.29
2011 Nissan Quest 3.5SL,Nissan Quest,2013-04-02,16649,324,16.32,3.3
2011 Nissan Quest 3.5SL,Nissan Quest,2013-04-11,17005,356,17.63,3.24
2011 Nissan Quest 3.5SL,Nissan Quest,2013-04-14,17220,215,10.45,3.23
2011 Nissan Quest 3.5SL,Nissan Quest,2013-04-22,17554,334,16.18,3.09
2011 Nissan Quest 3.5SL,Nissan Quest,2013-04-30,17865,311,15.78,3.16
2011 Nissan Quest 3.5SL,Nissan Quest,2013-05-03,18024,159,7.43,3.07
2011 Nissan Quest 3.5SL,Nissan Quest,2013-05-05,18305,281,13.41,3.22
2011 Nissan Quest 3.5SL,Nissan Quest,2013-05-08,18585,280,13.31,3.11
2011 Nissan Quest 3.5SL,Nissan Quest,2013-05-12,18894,309,14.69,3.3
2011 Nissan Quest 3.5SL,Nissan Quest,2013-05-16,19185,291,13.72,3.17
2011 Nissan Quest 3.5SL,Nissan Quest,2013-05-20,19376,191,9.39,3.16
2011 Nissan Quest 3.5SL,Nissan Quest,2013-06-03,19710,334,17.35,3.1
2011 Nissan Quest 3.5SL,Nissan Quest,2013-06-12,20044,334,17.02,3.08
2011 Nissan Quest 3.5SL,Nissan Quest,2013-06-23,20278,234,12.5,3.08
2011 Nissan Quest 3.5SL,Nissan Quest,2013-06-30,20568,290,14.34,3.03
2011 Nissan Quest 3.5SL,Nissan Quest,2013-07-07,20797,229,12.03,3
2011 Nissan Quest 3.5SL,Nissan Quest,2013-07-13,21085,288,14.19,3.2
2011 Nissan Quest 3.5SL,Nissan Quest,2013-07-20,21409,324,15.53,3.2
2011 Nissan Quest 3.5SL,Nissan Quest,2013-08-01,21747,338,17.5,3.18
2011 Nissan Quest 3.5SL,Nissan Quest,2013-08-09,22055,308,15,3.16
2011 Nissan Quest 3.5SL,Nissan Quest,2013-08-24,22382,327,17.85,3.1
